Date,Type,Route Name,Distance,Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2015-01-04 14:46:58,Running,,5.25,44:44,8:31,7.04,735.094860576046,115.11,,,2015-01-04-1446.gpx
2015-01-03 16:03:19,Running,,2.64,21:44,8:13,7.30,368.14125526316,56.52,,,2015-01-03-1603.gpx
2015-01-02 11:26:06,Running,,5.04,43:59,8:44,6.88,705.865844857154,103.56,,,2015-01-02-1126.gpx
2014-12-31 15:02:42,Running,,5.04,41:29,8:14,7.29,706.318281168758,131.65,,,2014-12-31-1502.gpx
2014-12-28 09:55:59,Running,,5.60,47:48,8:32,7.03,789.454751958578,48.81,,,2014-12-28-0955.gpx
2014-12-27 08:41:23,Running,,5.41,44:28,8:13,7.30,763.194815796877,119.56,,,2014-12-27-0841.gpx
2014-12-26 11:52:10,Running,,5.21,41:54,8:03,7.45,730.069257463108,113.73,,,2014-12-26-1152.gpx
2014-12-23 16:38:19,Running,,4.95,41:28,8:23,7.16,693.492347859599,89.66,,,2014-12-23-1638.gpx
2014-12-21 08:54:11,Running,,4.97,44:11,8:53,6.75,698.603078136252,101.25,,,2014-12-21-0854.gpx
2014-12-19 18:29:18,Running,,5.00,41:56,8:23,7.16,699.987095733755,103.65,,,2014-12-19-1829.gpx
2014-12-15 19:43:57,Running,,4.18,36:01,8:37,6.96,584.537446486112,74.32,,,2014-12-15-1943.gpx
2014-12-14 08:40:04,Running,,3.91,33:01,8:26,7.11,549.584626335138,65.62,,,2014-12-14-0840.gpx
2014-12-11 13:53:57,Running,,4.73,51:54,10:58,5.47,659.22120914349,181.17,,,2014-12-11-1353.gpx
2014-12-07 16:42:20,Running,,3.43,30:00,8:45,6.86,476.72317059258,96.64,,,2014-12-07-1642.gpx
2014-12-06 08:03:57,Running,,3.83,33:11,8:40,6.93,534.692506714813,69.92,,,2014-12-06-0803.gpx
2014-12-03 20:09:39,Running,,3.44,30:07,8:45,6.86,470.713586565691,58.76,,,2014-12-03-2009.gpx
2014-11-30 10:20:37,Running,,3.07,26:37,8:41,6.91,422.150660318032,107.93,,,2014-11-30-1020.gpx
2014-11-09 10:44:52,Running,,4.21,37:31,8:55,6.73,715.605147672576,103.03,,,2014-11-09-1044.gpx
2014-03-22 07:13:37,Running,,3.38,30:52,9:08,6.57,462.278302729179,44.91,,,2014-03-22-0713.gpx
2013-10-29 08:23:04,Running,,0.00,0:00,,,0.0,0.00,,,2013-10-29-0823.gpx
2013-07-16 19:12:22,Running,,6.14,1:09:53,11:23,5.27,853.0,231.65,,,2013-07-16-1912.gpx
2013-06-27 18:53:24,Running,,6.30,1:04:23,10:14,5.87,893.0,234.08,,,2013-06-27-1853.gpx
2013-06-07 09:05:15,Running,,2.94,33:21,11:21,5.29,436.0,203.98,,,2013-06-07-0905.gpx
2013-05-26 21:29:25,Running,,0.00,0:00,,,0.0,0.00,,,2013-05-26-2129.gpx
2013-05-24 18:53:03,Running,,0.00,0:12,52:00,1.15,1.0,0.00,,,2013-05-24-1853.gpx
2013-05-12 18:37:33,Running,,0.44,3:44,8:36,6.98,58.0,6.09,,,2013-05-12-1837.gpx
2013-04-28 09:02:26,Running,,4.95,43:48,8:51,6.78,679.0,148.36,,,2013-04-28-0902.gpx
2013-04-28 08:36:29,Running,,2.86,13:13,4:38,12.97,220.0,52.00,,,2013-04-28-0836.gpx
